"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"743",223,1958,0,0,8,0
"744",225,1958,0,0,8,0
"745",230,1958,0,0,8,0
"746",232,1958,0,0,8,0
"747",235,1958,0,0,8,0
"748",260,1958,0,0,8,0
"749",265,1958,0,0,8,0
"750",290,1958,0,0,8,0
"751",305,1958,0,0,8,0
"752",310,1958,0,0,8,0
"753",315,1958,0,0,8,0
"754",325,1958,0,0,8,0
"755",331,1958,0,0,8,0
"756",339,1958,0,0,8,0
"757",345,1958,0,0,8,0
"758",350,1958,0,0,8,0
"759",355,1958,0,0,8,0
"760",360,1958,0,0,8,0
"761",365,1958,0,0,8,0
"762",375,1958,0,0,8,0
"763",380,1958,0,0,8,0
"764",385,1958,0,0,8,0
"765",390,1958,0,0,8,0
"766",395,1958,0,0,8,0
"767",438,1958,0,0,0,0
"768",450,1958,0,0,8,0
"769",452,1958,0,0,1,0
"770",530,1958,0,0,8,0
"771",560,1958,0,0,8,0
"772",600,1958,0,0,2,0
"773",616,1958,0,0,2,0
"774",620,1958,0,0,7,0
"775",625,1958,2,0,2,0
"776",630,1958,0,1,5,1
"777",640,1958,0,0,8,0
"778",645,1958,2,0,8,0
"779",651,1958,0,2,4,1
"780",652,1958,0,2,4,1
"781",660,1958,0,0,8,0
"782",663,1958,1,1,1,1
"783",666,1958,0,0,8,0
"784",670,1958,0,0,8,0
"785",678,1958,0,1,3,1
"786",698,1958,0,0,8,0
"787",700,1958,0,0,8,0
"788",710,1958,0,0,8,0
"789",712,1958,0,0,8,0
"790",713,1958,0,0,8,0
"791",731,1958,0,0,8,0
"792",732,1958,0,0,8,0
"793",740,1958,0,0,8,0
"794",750,1958,0,0,8,0
"795",760,1958,0,0,8,0
"796",770,1958,2,0,8,0
"797",775,1958,2,0,8,0
"798",780,1958,0,0,8,0
"799",790,1958,0,0,8,0
"800",800,1958,2,2,1,1
"801",811,1958,0,0,5,0
"802",812,1958,0,0,4,0
"803",816,1958,0,0,4,0
"804",817,1958,0,0,4,0
"805",820,1958,0,0,1,0
"806",840,1958,0,0,8,0
"807",850,1958,0,0,8,0
"808",900,1958,0,0,8,0
"809",920,1958,0,0,8,0
"810",2,1959,0,0,9,0
"811",20,1959,0,0,9,0
"812",40,1959,0,2,2,1
"813",41,1959,0,3,2,1
"814",42,1959,0,0,9,0
"815",70,1959,0,0,9,0
"816",90,1959,0,3,2,1
"817",91,1959,1,1,3,1
"818",92,1959,0,0,9,0
"819",93,1959,0,0,9,0
"820",94,1959,0,0,9,0
"821",95,1959,0,1,8,1
"822",100,1959,0,3,1,1
"823",101,1959,0,2,1,1
"824",130,1959,0,3,3,1
"825",135,1959,0,2,3,1
"826",140,1959,1,1,4,1
"827",145,1959,1,5,1,1
"828",150,1959,0,2,4,1
"829",155,1959,0,0,9,0
"830",160,1959,0,3,3,1
"831",165,1959,0,0,9,0
"832",200,1959,0,0,9,0
"833",205,1959,0,0,9,0
"834",210,1959,0,0,9,0
"835",211,1959,0,0,9,0
"836",212,1959,0,0,9,0
"837",220,1959,0,0,9,0
"838",221,1959,0,0,9,0
"839",223,1959,0,0,9,0
"840",225,1959,0,0,9,0
"841",230,1959,0,0,9,0
"842",232,1959,0,0,9,0
"843",235,1959,0,0,9,0
"844",260,1959,0,0,9,0
"845",265,1959,0,0,9,0
"846",290,1959,0,0,9,0
"847",305,1959,0,0,9,0
"848",310,1959,0,0,9,0
"849",315,1959,0,0,9,0
"850",325,1959,0,0,9,0
"851",331,1959,0,0,9,0
"852",339,1959,0,0,9,0
"853",345,1959,0,0,9,0
"854",350,1959,0,0,9,0
"855",355,1959,0,0,9,0
"856",360,1959,0,0,9,0
"857",365,1959,0,0,9,0
"858",375,1959,0,0,9,0
"859",380,1959,0,0,9,0
"860",385,1959,0,0,9,0
